character_id,movie_id,character_name,occourences,word_count
201000,100119,richard,136,1100
201001,100119,amelia,107,966
201002,100119,anwar,63,569
201003,100119,susan,46,277
201004,100119,yussef,31,202
201005,100119,santiago,30,228
201006,100119,mike,30,217
201007,100119,abdullah,29,206
201008,100119,ahmed,28,189
201009,100120,rick,234,3617
201010,100120,debbie,84,1207
201011,100120,o'neill,81,1415
201012,100120,cole,65,890
201013,100120,gary,47,619
201014,100120,chulo,39,631
201015,100120,mr. thomerson,38,908
201016,100120,ryko,30,454
201017,100120,larry,28,349
201018,100121,charlie,215,3237
201019,100121,eddie,153,3388
201020,100121,arnold,85,1302
201021,100121,kenneth,84,1623
201022,100121,walter,67,1682
201023,100121,helen,51,1341
201024,100121,the existentialist,23,829
201025,100121,julie,23,974
201026,100121,the woman,11,128
201027,100124,zoe,395,4853
201028,100124,stan,218,2774
201029,100124,zoe (cont'd),60,819
201030,100124,bobby,52,618
201031,100124,nana,43,533
201032,100124,mona,42,597
201033,100124,carol,36,611
201034,100124,stan (cont'd),31,493
201035,100124,dr. harris,22,286
201036,100125,brian,267,3929
201037,100125,stephen,204,4422
201038,100125,shadow,114,2728
201039,100125,jennifer,73,1076
201040,100125,axe,41,1144
201041,100125,ronald,33,583
201042,100125,helen,33,376
201043,100125,swayzak,28,480
201044,100125,grindle,25,497
201045,100126,burnett,249,4081
201046,100126,lowrey,170,2979
201047,100126,julie,124,1949
201048,100126,fouchet,41,667
201049,100126,theresa,36,589
201050,100126,howard,29,668
201051,100126,max,22,227
201052,100126,chet,11,252
201053,100126,eddie,9,186
201054,100127,bud,174,2781
201055,100127,jesse,89,1531
201056,100127,braddock,42,572
201057,100127,catfish,36,657
201058,100127,lucian,32,591
201059,100127,fitch,29,536
201060,100127,cobb,29,422
201061,100127,kiersey,26,507
201062,100127,marandino,25,370
201063,100128,macreedy,249,4367
201064,100128,smith,107,2125
201065,100128,doc,83,1831
201066,100128,pete,56,972
201067,100128,tim,44,766
201068,100128,liz,43,712
201069,100128,hector,37,680
201070,100128,coley,32,725
201071,100128,hastings,25,323
201072,100129,cynthia,175,2486
201073,100129,alan,103,1722
201074,100129,berrisford,48,1035
201075,100129,victor,36,749
201076,100129,ralph,33,678
201077,100129,wasserman,28,452
201078,100129,miriam,25,665
201079,100129,harris (cont'd),22,491
201080,100129,alan (cont'd),22,471
201081,100130,lt,139,4793
201082,100130,ariane,30,997
201083,100130,lite,18,403
201084,100130,(oc),12,234
201085,100130,nun,12,1118
201086,100130,jc,8,250
201087,100130,fence,7,207
201088,100130,bet cop,6,334
201089,100130,first cop,5,77
201090,100131,willie,229,3177
201091,100131,marcus,119,1745
201092,100131,kid,86,972
201093,100131,gin,58,679
201094,100131,chipeska,29,346
201095,100131,sue,28,313
201096,100131,troublemaker,9,147
201097,100131,lois,8,71
201098,100131,santa,8,141
201099,100132,elizabeth,298,4049
201100,100132,amy,65,1127
201101,100132,elizabeth (cont'd),61,927
201102,100132,scott,60,682
201103,100132,garrett,43,530
201104,100132,lynn,40,356
201105,100132,principal snur,34,580
201106,100132,sasha,29,257
201107,100132,carl,25,324
201108,100133,kit,234,4390
201109,100133,holly,97,1175
201110,100133,deputy,16,235
201111,100133,cato,12,161
201112,100133,father,11,113
201113,100133,rich man,10,45
201114,100133,boy,7,42
201115,100133,girl,5,23
201116,100133,visitor,4,34
201117,100134,delacroix,229,2687
201118,100134,sloan,122,1162
201119,100134,mantan,113,1249
201120,100134,dunwitty,74,1282
201121,100134,cheeba,53,503
201122,100134,manray,44,413
201123,100134,big black,40,524
201124,100134,sleep 'n eat,40,311
201125,100134,close on,33,228
